,date,open,high,low,close,volume,barCount,average,ticker
0,2019-03-21,280.63,285.18,280.59,284.73,630435,285841,283.8345,SPY
1,2019-03-22,283.22,283.81,279.18,279.25,983118,479239,280.8575,SPY
2,2019-03-25,278.88,280.19,277.64,279.04,605960,308832,278.807,SPY
3,2019-03-26,280.99,282.18,279.56,281.12,481973,228712,280.9065,SPY
4,2019-03-27,281.11,281.76,277.93,279.65,584666,287744,279.7195,SPY
5,2019-03-28,280.35,281.21,279.07,280.71,465709,219679,280.309,SPY
6,2019-03-29,282.39,282.84,281.14,282.48,500955,230703,282.1405,SPY
7,2019-04-01,284.71,286.16,284.4,285.83,512156,227315,285.282,SPY
8,2019-04-02,286.04,286.23,285.09,285.97,332553,157060,285.787,SPY
9,2019-04-03,287.32,287.76,285.75,286.42,482163,220328,286.8175,SPY
10,2019-04-04,286.78,287.46,286.01,287.18,392904,184686,286.8645,SPY
11,2019-04-05,287.92,288.63,287.6,288.57,384258,174829,288.2845,SPY
12,2019-04-08,288.1,288.91,287.37,288.79,357945,158024,288.206,SPY
13,2019-04-09,287.72,288.08,286.7,287.31,476659,192714,287.336,SPY
14,2019-04-10,287.77,288.39,287.31,288.29,355024,134075,287.856,SPY
15,2019-04-11,288.83,288.84,287.57,288.21,366706,136363,288.1805,SPY
16,2019-04-12,290.0,290.47,289.26,290.16,406923,157964,289.9185,SPY
17,2019-04-15,290.24,290.35,289.07,289.97,324903,137283,289.713,SPY
18,2019-04-16,290.95,291.01,289.5,290.16,342988,139773,290.3455,SPY
19,2019-04-17,291.4,291.43,288.99,289.45,407430,167518,289.8135,SPY
0,2019-03-21,206.8,210.16,205.97,209.61,14651,10602,208.9585,MMM
1,2019-03-22,208.29,208.49,204.47,204.66,18173,12662,205.787,MMM
2,2019-03-25,203.46,205.47,202.25,203.21,13646,10631,203.5765,MMM
3,2019-03-26,205.0,207.64,204.77,207.24,12976,9209,206.6855,MMM
4,2019-03-27,207.4,207.95,205.12,207.16,13609,9977,206.625,MMM
5,2019-03-28,208.0,208.74,206.64,208.53,10986,8123,207.8235,MMM
6,2019-03-29,209.29,209.5,206.2,207.78,16305,12157,207.396,MMM
7,2019-04-01,209.89,212.4,209.25,211.94,15901,10794,211.2005,MMM
8,2019-04-02,212.61,212.7,211.0,212.13,8592,6735,211.9975,MMM
9,2019-04-03,212.95,213.93,212.44,213.13,9610,7468,213.2085,MMM
10,2019-04-04,213.5,215.27,212.32,215.03,10706,7364,214.424,MMM
11,2019-04-05,215.88,216.49,214.8,215.41,7788,5683,215.513,MMM
12,2019-04-08,214.71,215.07,213.47,215.02,5799,4275,214.5805,MMM
13,2019-04-09,214.42,214.57,211.82,211.96,9180,7110,212.4545,MMM
14,2019-04-10,212.42,212.71,210.72,212.11,7755,5976,211.4635,MMM
15,2019-04-11,211.71,213.71,211.44,213.53,7708,6045,212.789,MMM
16,2019-04-12,215.1,217.49,214.35,217.42,12175,9289,216.379,MMM
17,2019-04-15,216.84,217.36,214.9,215.83,9637,7472,215.801,MMM
18,2019-04-16,216.59,217.67,215.48,216.9,10371,8113,216.6355,MMM
19,2019-04-17,217.63,219.33,217.17,217.64,14244,10876,218.0575,MMM
0,2019-03-21,79.45,80.49,79.32,80.06,37129,25218,80.1565,ABT
1,2019-03-22,79.81,80.0,77.69,77.97,52889,39201,78.4915,ABT
2,2019-03-25,77.81,78.67,77.62,78.23,28454,19738,78.1575,ABT
3,2019-03-26,78.89,79.51,78.68,79.0,27249,17948,79.027,ABT
4,2019-03-27,79.0,79.31,77.88,78.73,30639,19831,78.6915,ABT
5,2019-03-28,79.16,79.66,78.71,79.44,34091,21745,79.3265,ABT
6,2019-03-29,79.86,79.99,79.11,79.94,36378,24549,79.6425,ABT
7,2019-04-01,80.67,80.74,79.21,79.66,33286,21764,79.8005,ABT
8,2019-04-02,79.83,79.83,79.07,79.62,25279,15797,79.548,ABT
9,2019-04-03,79.97,80.0,79.15,79.5,28963,18766,79.53,ABT
10,2019-04-04,79.47,79.51,78.0,78.62,34698,24623,78.583,ABT
11,2019-04-05,78.9,79.37,78.39,79.0,24410,17660,78.9465,ABT
12,2019-04-08,78.91,78.91,77.95,78.52,41840,28172,78.2995,ABT
13,2019-04-09,78.24,78.97,78.05,78.67,32446,20825,78.649,ABT
14,2019-04-10,78.72,79.42,78.55,78.97,41674,20962,79.0335,ABT
15,2019-04-11,79.19,79.23,78.35,78.51,34761,19608,78.652,ABT
16,2019-04-12,78.37,78.85,77.82,78.01,41699,24491,78.3595,ABT
17,2019-04-15,78.11,78.46,77.46,77.5,45609,28160,77.726,ABT
18,2019-04-16,77.94,78.7,76.06,76.38,48966,32143,77.196,ABT
19,2019-04-17,76.18,76.29,72.36,72.88,91987,56761,73.5995,ABT
0,2019-03-21,79.88,81.31,79.26,81.24,39432,23276,80.4685,ABBV
1,2019-03-22,80.71,81.99,79.69,79.76,34855,23066,80.681,ABBV
2,2019-03-25,79.5,80.04,78.41,79.51,30241,17890,79.282,ABBV
3,2019-03-26,79.85,81.19,79.8,80.76,38863,22605,80.783,ABBV
4,2019-03-27,81.0,81.0,79.8,79.89,29462,19242,80.1545,ABBV
5,2019-03-28,80.33,80.49,79.5,79.96,21932,13318,79.962,ABBV
6,2019-03-29,80.08,80.9,79.96,80.59,49733,24844,80.5345,ABBV
7,2019-04-01,80.98,81.11,79.97,80.78,35313,20038,80.6465,ABBV
8,2019-04-02,80.89,83.49,80.8,83.07,50292,26538,82.5875,ABBV
9,2019-04-03,83.62,84.73,82.79,83.08,40710,25658,83.339,ABBV
10,2019-04-04,83.04,83.38,82.06,82.81,33417,20091,82.636,ABBV
11,2019-04-05,82.82,84.18,82.67,83.45,28758,19520,83.4865,ABBV
12,2019-04-08,83.7,84.0,82.78,83.98,25322,14965,83.6785,ABBV
13,2019-04-09,83.77,83.85,82.5,82.69,27500,16487,82.852,ABBV
14,2019-04-10,83.2,83.38,82.6,82.95,25536,13932,83.045,ABBV
15,2019-04-11,83.2,83.25,81.23,81.77,39384,24023,81.812,ABBV
16,2019-04-12,80.67,81.81,79.84,80.78,32979,20776,80.906,ABBV
17,2019-04-15,80.96,81.51,80.37,81.03,23195,13960,80.877,ABBV
18,2019-04-16,81.11,81.3,80.01,80.21,27432,15558,80.7325,ABBV
19,2019-04-17,80.1,80.2,77.55,77.98,52292,31218,78.188,ABBV
0,2019-03-21,337.94,348.28,337.1,337.43,3347,2396,342.7455,ABMD
1,2019-03-22,334.24,337.39,322.87,323.21,2451,2000,328.048,ABMD
2,2019-03-25,321.3,322.14,313.0,313.22,4401,3441,315.318,ABMD
3,2019-03-26,314.88,316.02,284.62,286.0,14109,10275,294.36,ABMD
4,2019-03-27,286.6,289.07,272.17,276.39,11770,7617,276.936,ABMD
5,2019-03-28,277.75,286.9,275.0,283.9,5941,4564,283.468,ABMD
6,2019-03-29,285.14,291.99,284.73,285.59,4803,3857,287.4105,ABMD
7,2019-04-01,290.01,293.44,275.36,277.76,5349,4106,280.9225,ABMD
8,2019-04-02,277.77,284.99,275.53,284.2,3776,3080,281.954,ABMD
9,2019-04-03,286.86,288.47,283.91,284.94,3350,2486,285.815,ABMD
10,2019-04-04,284.4,286.91,277.64,282.87,5027,3953,282.4935,ABMD
